Roaming Scheme ID,Allow Roaming,Roaming Scheme Name,Roaming SGSN ID,SGSN Number,Number Type,Local SGSN,Description
1,Yes,1,954,919937,Number prefix,No,
1,Yes,1,986,9377,Number prefix,No,
1,Yes,1,1005,96650,Number prefix,No,
1,Yes,1,1009,96659,Number prefix,No,
1,Yes,1,1013,96892,Number prefix,No,
1,Yes,1,1014,96899,Number prefix,No,
1,Yes,1,1015,97150,Number prefix,No,
1,Yes,1,1016,97154,Number prefix,No,
1,Yes,1,1018,97156,Number prefix,No,
1,Yes,1,1019,97250,Number prefix,No,
1,Yes,1,1026,97455,Number prefix,No,
1,Yes,1,800,86138,Number prefix,No,
1,Yes,1,801,86139,Number prefix,No,
1,Yes,1,1037,86135,Number prefix,No,
1,Yes,1,1038,86136,Number prefix,No,
1,Yes,1,1039,86159,Number prefix,No,
1,Yes,1,1040,86158,Number prefix,No,
1,Yes,1,1041,86150,Number prefix,No,
1,Yes,1,1042,86151,Number prefix,No,
1,Yes,1,1043,86152,Number prefix,No,
1,Yes,1,1044,86188,Number prefix,No,
1,Yes,1,1045,86147,Number prefix,No,
1,Yes,1,1046,86187,Number prefix,No,
1,Yes,1,1047,86182,Number prefix,No,
1,Yes,1,1048,86183,Number prefix,No,
1,Yes,1,1052,861343,Number prefix,No,
1,Yes,1,1053,861345,Number prefix,No,
1,Yes,1,1054,861346,Number prefix,No,
1,Yes,1,1055,861347,Number prefix,No,
1,Yes,1,1056,861348,Number prefix,No,
1,Yes,1,348,25072,Number prefix,No,
1,Yes,1,1073,24177,Number prefix,No,
1,Yes,1,1074,24174,Number prefix,No,
1,Yes,1,259,24104,Number prefix,No,
1,Yes,1,1077,447430,Number prefix,No,
1,Yes,1,1084,1678667,Number prefix,No,
1,Yes,1,1085,1970376,Number prefix,No,
1,Yes,1,1086,1260577,Number prefix,No,
1,Yes,1,1087,1260530,Number prefix,No,
1,Yes,1,1088,1209904,Number prefix,No,
1,Yes,1,1089,1605408,Number prefix,No,
1,Yes,1,1090,1312314,Number prefix,No,
1,Yes,1,1091,1231203,Number prefix,No,
1,Yes,1,1092,1907599,Number prefix,No,
1,Yes,1,1093,1704502,Number prefix,No,
1,Yes,1,1094,8829800202,Number prefix,No,
1,Yes,1,412,25779,Number prefix,No,
1,Yes,1,1104,25771,Number prefix,No,
1,Yes,1,1105,25772,Number prefix,No,
1,Yes,1,551,35796,Number prefix,No,
1,Yes,1,539,35386,Number prefix,No,
1,Yes,1,1133,35383,Number prefix,No,
1,Yes,1,1118,393519,Number prefix,No,
1,Yes,1,990,9472,Number prefix,No,
1,Yes,1,1139,9478,Number prefix,No,
1,Yes,1,989,9471,Number prefix,No,
1,Yes,1,1140,161046,Number prefix,No,
1,Yes,1,1141,1610302,Number prefix,No,
1,Yes,1,1142,1814222,Number prefix,No,
1,Yes,1,1143,1570716,Number prefix,No,
1,Yes,1,1144,883290,Number prefix,No,
1,Yes,1,489,26773,Number prefix,No,BTC_Botswana
1,Yes,1,107,22077,Number prefix,No,AFRICELL_Gambia
1,Yes,1,737,63918,Number prefix,No,
1,Yes,1,1149,26777,Number prefix,No,BTC_Botswana
1,Yes,1,1156,22466,Number,No,
1,Yes,1,1159,24596,Number,No,
1,Yes,1,40,1494725,Number prefix,No,
1,Yes,1,41,150351,Number prefix,No,
1,Yes,1,42,150545,Number prefix,No,
1,Yes,1,49,154084893,Number prefix,No,
1,Yes,1,50,1541287,Number prefix,No,
1,Yes,1,51,156227,Number prefix,No,
1,Yes,1,54,1604348,Number prefix,No,
1,Yes,1,55,160540,Number prefix,No,
1,Yes,1,56,1636384,Number prefix,No,
1,Yes,1,57,164662,Number prefix,No,
1,Yes,1,199,23327,Number prefix,No,TIGO GHANA
1,Yes,1,62,167866,Number prefix,No,
1,Yes,1,63,16787618,Number prefix,No,
1,Yes,1,64,170434,Number prefix,No,
1,Yes,1,65,1704410,Number prefix,No,
1,Yes,1,66,170450,Number prefix,No,
1,Yes,1,70,1787590,Number prefix,No,
1,Yes,1,73,180825,Number prefix,No,
1,Yes,1,79,1902718,Number prefix,No,
1,Yes,1,80,190561,Number prefix,No,
1,Yes,1,81,190759,Number prefix,No,
1,Yes,1,82,1907831,Number prefix,No,
2,Yes,2,135,22676,Number prefix,No,
2,Yes,2,157,22796,Number prefix,No,
2,Yes,2,184,23276,Number prefix,No,
2,Yes,2,198,23326,Number prefix,No,
2,Yes,2,220,234802,Number prefix,No,
2,Yes,2,244,2356,Number prefix,No,
2,Yes,2,263,24107,Number prefix,No,
2,Yes,2,280,24205,Number prefix,No,
2,Yes,2,314,24399,Number prefix,No,
2,Yes,2,326,24827,Number prefix,No,
2,Yes,2,349,25073,Number prefix,No,
2,Yes,2,365,254760,Number prefix,No,
2,Yes,2,366,254763,Number prefix,No,
2,Yes,2,367,25478,Number prefix,No,
2,Yes,2,385,25578,Number prefix,No,
2,Yes,2,401,25675,Number prefix,No,
2,Yes,2,434,26097,Number prefix,No,
2,Yes,2,443,26133,Number prefix,No,
2,Yes,2,484,26599,Number prefix,No,
2,Yes,2,912,919862,Number prefix,No,
2,Yes,2,1,25473,Number prefix,Yes,
2,Yes,2,869,919810,Number prefix,No,
2,Yes,2,874,919815,Number prefix,No,
2,Yes,2,875,919816,Number prefix,No,
2,Yes,2,888,919829,Number prefix,No,
2,Yes,2,890,919831,Number prefix,No,
2,Yes,2,899,919840,Number prefix,No,
2,Yes,2,904,919845,Number prefix,No,
2,Yes,2,908,919849,Number prefix,No,
2,Yes,2,1120,919954,Number prefix,No,
2,Yes,2,925,919890,Number prefix,No,
2,Yes,2,927,919892,Number prefix,No,
2,Yes,2,928,919893,Number prefix,No,
2,Yes,2,929,919894,Number prefix,No,
2,Yes,2,930,919895,Number prefix,No,
2,Yes,2,931,919896,Number prefix,No,
2,Yes,2,932,919897,Number prefix,No,
2,Yes,2,933,919898,Number prefix,No,
2,Yes,2,949,919932,Number prefix,No,
2,Yes,2,951,919934,Number prefix,No,
2,Yes,2,952,919935,Number prefix,No,
2,Yes,2,954,919937,Number prefix,No,
2,Yes,2,199,23327,Number prefix,No,TIGO GHANA
2,Yes,2,348,25072,Number prefix,No,
2,Yes,2,1073,24177,Number prefix,No,
2,Yes,2,1074,24174,Number prefix,No,
2,Yes,2,259,24104,Number prefix,No,
3,Yes,3,82,1907831,Number prefix,No,
3,Yes,3,83,191534,Number prefix,No,
3,Yes,3,84,191790,Number prefix,No,
3,Yes,3,85,197037,Number prefix,No,
3,Yes,3,86,1989707,Number prefix,No,
3,Yes,3,88,2010,Number prefix,No,
3,Yes,3,89,2011,Number prefix,No,
