Roaming Scheme ID,Allow Roaming,Roaming Scheme Name,Roaming VLR ID,VLR Address,GSM SSF Address,Local VLR,VLR Number Type,Description
1,Yes,1,1131,7987,7987,No,Number prefix,
1,Yes,1,1132,7988,7988,No,Number prefix,
1,Yes,1,1150,790434,790434,No,Number prefix,
1,Yes,1,1032,99293,99293,No,Number prefix,
1,Yes,1,1036,99893,99893,No,Number prefix,
1,Yes,1,1034,99577,99577,No,Number prefix,
1,Yes,1,1035,99599,99599,No,Number prefix,
1,Yes,1,88,2010,2010,No,Number prefix,
1,Yes,1,89,2011,2011,No,Number prefix,
1,Yes,1,90,2012,2012,No,Number prefix,
1,Yes,1,92,2016,2016,No,Number prefix,
1,Yes,1,501,3094,3094,No,Number prefix,
1,Yes,1,502,3097,3097,No,Number prefix,
1,Yes,1,497,30693,30693,No,Number prefix,
1,Yes,1,499,30699,30699,No,Number prefix,
1,Yes,1,599,40722,40722,No,Number prefix,
1,Yes,1,600,40744,40744,No,Number prefix,
1,Yes,1,688,50769,50769,No,Number prefix,
1,Yes,1,687,506300,506300,No,Number prefix,
1,Yes,1,685,502530,502530,No,Number prefix,
1,Yes,1,722,6012,6012,No,Number prefix,
1,Yes,1,723,6013,6013,No,Number prefix,
1,Yes,1,724,6016,6016,No,Number prefix,
1,Yes,1,725,6019,6019,No,Number prefix,
1,Yes,1,816,90532,90532,No,Number prefix,
1,Yes,1,819,90542,90542,No,Number prefix,
1,Yes,1,817,90533,90533,No,Number prefix,
1,Yes,1,818,90535,90535,No,Number prefix,
1,Yes,1,820,905428,905428,No,Number prefix,
1,Yes,1,821,905429,905429,No,Number prefix,
1,Yes,1,100,21350,21350,No,Number prefix,
1,Yes,1,102,21370,21370,No,Number prefix,
1,Yes,1,105,21891,21891,No,Number prefix,
1,Yes,1,103,21622,21622,No,Number prefix,
1,Yes,1,94,21192,21192,No,Number prefix,
1,Yes,1,96,21264,21264,No,Number prefix,
1,Yes,1,104,21698,21698,No,Number prefix,
1,Yes,1,97,212640,212640,No,Number prefix,
1,Yes,1,98,212661,212661,No,Number prefix,
